GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,imputed,subbed
5300100,2000,Aberdeen,Washington,16461.0,22.21,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,2709.0,,,,,0,0
5300100,2001,Aberdeen,Washington,16461.0,22.21,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,2726.0,91.0,48.0,1.77,3.35,0,0
5300100,2002,Aberdeen,Washington,16461.0,22.21,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,2743.0,78.0,44.0,1.6,2.83,0,0
5300100,2003,Aberdeen,Washington,16461.0,22.21,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,2764.0,92.0,45.0,1.63,3.32,0,0
5300100,2004,Aberdeen,Washington,16461.0,22.21,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,2781.0,90.0,25.0,0.91,3.22,0,0
5300100,2005,Aberdeen,Washington,16112.0,15.51,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,2803.0,103.0,34.0,1.23,3.66,0,0
5300100,2006,Aberdeen,Washington,16112.0,15.51,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,2816.0,85.0,32.0,1.15,3.02,0,0
5300100,2007,Aberdeen,Washington,16112.0,15.51,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,2836.0,72.0,48.0,1.69,2.55,0,0
5300100,2008,Aberdeen,Washington,16112.0,15.51,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,2855.0,62.0,45.0,1.58,2.18,0,0
5300100,2009,Aberdeen,Washington,16112.0,15.51,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,2874.0,48.0,21.0,0.74,1.67,0,0
5300100,2010,Aberdeen,Washington,16896.0,15.6,44.9,703.0,39872.0,119700.0,29.6,74.63,0.7,15.85,3.05,1.79,0.27,3.6,0.11,2892.0,62.0,52.0,1.79,2.13,0,0
5300100,2011,Aberdeen,Washington,16429.0,16.59,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,2892.0,50.0,35.0,1.22,1.73,0,0
5300100,2012,Aberdeen,Washington,16429.0,16.59,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,2887.0,54.0,49.0,1.71,1.88,0,0
5300100,2013,Aberdeen,Washington,16429.0,16.59,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,2892.0,70.0,61.0,2.12,2.43,0,0
5300100,2014,Aberdeen,Washington,16429.0,16.59,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,2884.0,61.0,37.0,1.28,2.11,0,0
5300100,2015,Aberdeen,Washington,16429.0,16.59,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,2885.0,86.0,45.0,1.57,2.99,0,0
5300100,2016,Aberdeen,Washington,16429.0,16.59,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,2879.0,107.0,83.0,2.87,3.71,0,0
5300135,2000,Aberdeen Gardens,Washington,227.0,7.52,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,24.0,,,,,0,0
5300135,2001,Aberdeen Gardens,Washington,227.0,7.52,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,18.0,1.0,1.0,3.26,3.26,0,0
5300135,2002,Aberdeen Gardens,Washington,227.0,7.52,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,18.0,1.0,0.0,0.0,1.09,0,0
5300135,2003,Aberdeen Gardens,Washington,227.0,7.52,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,18.0,0.0,0.0,0.0,0.0,0,0
5300135,2004,Aberdeen Gardens,Washington,227.0,7.52,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,18.0,1.0,1.0,1.09,7.61,0,0
5300135,2005,Aberdeen Gardens,Washington,154.0,0.0,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,18.0,1.0,0.0,0.0,2.17,0,0
5300135,2006,Aberdeen Gardens,Washington,154.0,0.0,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,18.0,1.0,0.0,0.0,1.1,0,0
5300135,2007,Aberdeen Gardens,Washington,154.0,0.0,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,18.0,1.0,1.0,1.1,1.1,0,0
5300135,2008,Aberdeen Gardens,Washington,154.0,0.0,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,18.0,1.0,1.0,1.1,2.2,0,0
5300135,2009,Aberdeen Gardens,Washington,154.0,0.0,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0,0
5300135,2010,Aberdeen Gardens,Washington,279.0,0.0,23.68,725.0,52667.0,183600.0,23.3,89.61,0.0,5.02,0.72,2.15,0.0,2.51,0.0,18.0,1.0,1.0,1.1,1.1,0,0
5300135,2011,Aberdeen Gardens,Washington,261.0,0.0,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,18.0,0.0,0.0,0.0,0.0,0,0
5300135,2012,Aberdeen Gardens,Washington,261.0,0.0,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,18.0,0.0,0.0,0.0,0.0,0,0
5300135,2013,Aberdeen Gardens,Washington,261.0,0.0,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,18.0,0.0,0.0,0.0,0.0,0,0
5300135,2014,Aberdeen Gardens,Washington,261.0,0.0,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,19.0,1.0,0.0,0.0,2.13,0,0
5300135,2015,Aberdeen Gardens,Washington,261.0,0.0,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,19.0,0.0,0.0,0.0,0.0,0,0
5300135,2016,Aberdeen Gardens,Washington,261.0,0.0,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,19.0,1.0,1.0,1.05,1.05,0,0
5300275,2000,Acme,Washington,263.0,13.17,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,18.0,,,,,0,0
5300275,2001,Acme,Washington,263.0,13.17,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,19.0,1.0,1.0,0.76,2.29,0,0
5300275,2002,Acme,Washington,263.0,13.17,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,19.0,0.0,0.0,0.0,0.0,0,0
5300275,2003,Acme,Washington,263.0,13.17,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,18.0,,,,,0,0
5300275,2004,Acme,Washington,263.0,13.17,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,18.0,,,,,0,0
5300275,2005,Acme,Washington,176.0,0.0,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,0,0
5300275,2006,Acme,Washington,176.0,0.0,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,0,0
5300275,2007,Acme,Washington,176.0,0.0,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,0,0
5300275,2008,Acme,Washington,176.0,0.0,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,0,0
5300275,2009,Acme,Washington,176.0,0.0,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,0,0
5300275,2010,Acme,Washington,246.0,0.0,17.89,,105327.0,413100.0,,90.65,0.41,2.85,1.22,0.0,0.0,4.88,0.0,17.0,,,,,0,0
5300275,2011,Acme,Washington,156.0,100.0,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,0,0
5300275,2012,Acme,Washington,156.0,100.0,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,,,0,0
5300275,2013,Acme,Washington,156.0,100.0,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,,,0,0
5300275,2014,Acme,Washington,156.0,100.0,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,,,,0,0
5300275,2015,Acme,Washington,156.0,100.0,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,1.0,0.49,0.49,0,0
5300275,2016,Acme,Washington,156.0,100.0,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.95,1.43,0,0
5300380,2010,Addy,Washington,268.0,57.69,46.39,715.0,14167.0,,50.0,82.84,0.37,2.99,4.85,0.0,0.0,8.96,0.0,25.0,1.0,1.0,1.22,1.22,0,0
5300380,2011,Addy,Washington,139.0,100.0,48.21,,9167.0,,,57.55,0.0,0.0,42.45,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.02,0.02,0,0
5300380,2012,Addy,Washington,139.0,100.0,48.21,,9167.0,,,57.55,0.0,0.0,42.45,0.0,0.0,0.0,0.0,26.0,1.0,1.0,1.22,1.22,0,0
5300380,2013,Addy,Washington,139.0,100.0,48.21,,9167.0,,,57.55,0.0,0.0,42.45,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0,0
5300380,2014,Addy,Washington,139.0,100.0,48.21,,9167.0,,,57.55,0.0,0.0,42.45,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0,0
5300380,2015,Addy,Washington,139.0,100.0,48.21,,9167.0,,,57.55,0.0,0.0,42.45,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.03,0.03,0,0
